127.0.0.1 - - [28/Dec/2018:20:25:38 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:37 +0800] "GET /checkserver/login.jsp HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:37 +0800] "GET /checkserver/js/jquery-3.1.1.js HTTP/1.1" 200 277414
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:37 +0800] "GET /checkserver/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:37 +0800] "GET /checkserver/js/bootstrap.js HTTP/1.1" 200 61884
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:37 +0800] "GET /checkserver/js/jquery.tmpl.js HTTP/1.1" 200 8581
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:37 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:38 +0800] "POST /checkserver/api/checkLogin HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:40 +0800] "GET /checkserver/css/bootstrap.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:48 +0800] "POST /checkserver/api/checkLogin HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:48 +0800] "GET /checkserver/student.jsp HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:48 +0800] "GET /checkserver/css/bootstrap.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:27:48 +0800] "POST /checkserver/api/queryStudentList HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:47 +0800] "GET /checkserver/login.jsp HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:47 +0800] "GET /checkserver/css/bootstrap.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:47 +0800] "POST /checkserver/api/checkLogin HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:47 +0800] "GET /checkserver/student.jsp HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:47 +0800] "GET /checkserver/css/bootstrap.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:47 +0800] "POST /checkserver/api/queryStudentList HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:48 +0800] "GET /checkserver/login.jsp HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:49 +0800] "GET /checkserver/css/bootstrap.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:49 +0800] "POST /checkserver/api/checkLogin HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:49 +0800] "GET /checkserver/student.jsp HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:49 +0800] "GET /checkserver/css/bootstrap.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:49 +0800] "POST /checkserver/api/queryStudentList HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [28/Dec/2018:20:28:59 +0800] "POST /checkserver/api/queryStudentList HTTP/1.1" 200 204
